code,id,level,name,description,path
25435,bonXmRvDUg5,4,Aflah Medical Centre,Facility,/CLmPcJmOc90/srK8pWip5i8/xTD1l050QwL/bonXmRvDUg5
23567,v0sbkh8Gzgn,4,Afnaan Health Care Services,Facility,/CLmPcJmOc90/bSpKE38mB85/xTwak4MXreJ/v0sbkh8Gzgn
18382,RzanUcg35bQ,4,Afraha Maternity and Nursing Home,Facility,/CLmPcJmOc90/DDLOpuTc53A/fu4M7Lxhmoq/RzanUcg35bQ
13268,ZWhlD70UUJ0,4,Africa Inland Church Dispensary,Facility,/CLmPcJmOc90/xKAATm8Pwru/eRRbiQeIBRG/ZWhlD70UUJ0
25539,ISECTxyU8dR,4,Africa Inuka Hospital,Facility,/CLmPcJmOc90/nHQUNlWL1nk/WYXUeMuvgPq/ISECTxyU8dR
20848,pGGLNqDe45C,4,Africa Muslim Agency Dispensary,Facility,/CLmPcJmOc90/lbeoP5aqj46/WydYdJmscYB/pGGLNqDe45C
20320,n5PZqdHPCUe,4,Africa Muslim Agency Dispensary Kilifi,Facility,/CLmPcJmOc90/CtmrXMoMKSA/Z1NhrjwyFQH/n5PZqdHPCUe
20090,V4z06am0dl3,4,African Divine Church VCT,Facility,/CLmPcJmOc90/N4pRUs2e6nC/tumj0X12gj4/V4z06am0dl3
15034,Vf61WetyeO8,4,Africana Mall Healthcare Limited,Facility,/CLmPcJmOc90/QjcUFIryWmH/day7xZcUpRb/Vf61WetyeO8
22916,TcJGSFJLkdL,4,Africare Limited Embakasi Clinic,Facility,/CLmPcJmOc90/N4pRUs2e6nC/S0qLFGryYc9/TcJGSFJLkdL
22867,IhrP65GoDw5,4,Africare Ltd Forts building,Facility,/CLmPcJmOc90/N4pRUs2e6nC/v9O7ZCaHj3W/IhrP65GoDw5
22639,ynciUG2at8j,4,Africare Ltd Karen Clinic,Facility,/CLmPcJmOc90/N4pRUs2e6nC/jckhtzFCuXZ/ynciUG2at8j
22866,JdmIUfeTiP1,4,Africare Ltd NHIF clinic,Facility,/CLmPcJmOc90/N4pRUs2e6nC/v9O7ZCaHj3W/JdmIUfeTiP1
13181,GkBXGVeXZfd,4,Africare Ltd South C,Facility,/CLmPcJmOc90/N4pRUs2e6nC/jckhtzFCuXZ/GkBXGVeXZfd
23732,Czni92Kuxve,4,Africare Ltd Thika Clinic,Facility,/CLmPcJmOc90/JVu73wvtLRy/psNsqkE7qHA/Czni92Kuxve
27377,Y0k9tytCihr,4,AFRILIFE HEALTH MEDICAL CLINIC,Facility,/CLmPcJmOc90/Ix2Au4Km9ew/Yz24QTzULkr/Y0k9tytCihr
24781,Ztg5ho9dXkG,4,Afrismart Group of Hospitals LTD,Facility,/CLmPcJmOc90/N4pRUs2e6nC/S0qLFGryYc9/Ztg5ho9dXkG
17335,iAVWYtUcH52,4,Afwein Dispensary,Facility,/CLmPcJmOc90/bSpKE38mB85/PjmLoJzNB6K/iAVWYtUcH52
19162,NcCCCPMFHBy,4,Afwene Clinic,Facility,/CLmPcJmOc90/bSpKE38mB85/xTwak4MXreJ/NcCCCPMFHBy
10014,HFtxX2vr2hW,4,Afya  bora Medical Clinic mukurwe-ini,Facility,/CLmPcJmOc90/i7hqxf9ShvM/GCXmB3DzpKr/HFtxX2vr2hW
17577,UXPBVCdAnFp,4,Afya Bora Clinic,Facility,/CLmPcJmOc90/sCn0duT9QVP/TZXnfvV9GZG/UXPBVCdAnFp
11919,fj8eWFlg9ev,4,Afya Bora Clinic Meru South,Facility,/CLmPcJmOc90/mV5pgmDlODD/rhgB0o9tkLE/fj8eWFlg9ev
17819,MAGmuSFkXq7,4,Afya Bora Clinic Mutomo,Facility,/CLmPcJmOc90/e7rc64pUcS0/IdTneED5joL/MAGmuSFkXq7
10011,Fvp2XdOpp5x,4,Afya Bora Clinic Mwea,Facility,/CLmPcJmOc90/sCn0duT9QVP/TZXnfvV9GZG/Fvp2XdOpp5x
22740,B0k6jh5liO8,4,Afya Bora ClinicBusia,Facility,/CLmPcJmOc90/dza0Una0env/Jo6dkia8Ro7/B0k6jh5liO8
19515,ytxvK4WOIEw,4,Afya Bora Health Care,Facility,/CLmPcJmOc90/N4pRUs2e6nC/tumj0X12gj4/ytxvK4WOIEw
19794,IK9zREJoqDv,4,Afya Bora Health Clinic,Facility,/CLmPcJmOc90/NgMqkVjFIKY/JBJJTWdwdxx/IK9zREJoqDv
19551,LcQFwzLtCLx,4,Afya Bora Medical Clinic,Facility,/CLmPcJmOc90/N4pRUs2e6nC/tumj0X12gj4/LcQFwzLtCLx
19662,PZxYQ60MY0w,4,Afya Bora Medical Clinic,Facility,/CLmPcJmOc90/H7BJxmeJfrJ/fWMPhC03e2s/PZxYQ60MY0w
23130,txwi0rRGDbQ,4,Afya Bora Medical Clinic,Facility,/CLmPcJmOc90/dKPsXmJYqBs/ONmXp0JXC4H/txwi0rRGDbQ
23387,zig0c7ZXcVy,4,Afya Bora Medical Clinic,Facility,/CLmPcJmOc90/FMHWPDvWvXw/KFryXpy6CMg/zig0c7ZXcVy
